word,phonetic,definition_zh,definition_en,example,tags,audio_file
imperil,ɪm'pɛrəl,vt  使陷于危险， 危及,to put something or someone in danger,Tax increases now might imperil economic recovery.,sholvoir;ielts;exam;core,
diameter,daɪ'æmɪtɚ,n  直径,"a straight line from one side of a circle to the other side, passing through the centre of the circle, or the length of this line",...a tube less than a fifth of the diameter of a human hair.,sholvoir;ielts;exam;core,
stationary,'steʃənɛri,adj  静止的， 不动的， 固定的； 稳定的,standing still instead of moving,How did you manage to drive into a stationary vehicle?,sholvoir;ielts;exam;core,
bark,bɑrk,vi 吠叫; n  犬吠声； 树皮,"when a dog barks, it makes a short loud sound or series of sounds; the outer covering of a tree",Don't let the dogs bark.,sholvoir;ielts;exam;core,
loop,lup,v  成环， 成圈； 成环形运动; n 圈环；环状物；环路；循环,"to move in a circular direction that forms the shape of a loop; a shape like a curve or a circle made by a line curving back towards itself, or a piece of wire, string etc that has this shape",The ball looped over the goalkeeper into the back of the net.,sholvoir;ielts;exam;core,
bare,bɛr,adj  赤裸的， 光秃的,not covered by clothes,a ragged child with bare feet,sholvoir;ielts;exam;core,
formidable,'fɔrmɪdəbl,adj  可怕的； 难以应付的， 难以克服的,"very powerful or impressive, and often frightening","The building is grey, formidable, not at all picturesque.",sholvoir;ielts;exam;core,
abound,ə'baʊnd,vi  富于； 充满,"If things abound, or if a place abounds with things, there are very large numbers of them",Stories abound about when he was in charge.,sholvoir;ielts;exam;core,
suitcase,'sutkes,n  手提箱； 衣箱,"a large case with a handle, used for carrying clothes and possessions when you travel",It did not take Andrew long to pack a suitcase.,sholvoir;ielts;exam;core,
invert,'ɪnvɝt,vt  倒转， 颠倒,"to put something in the opposite position to the one it was in before, especially by turning it upside down (= the bottom is on the top and the top is on the bottom )",Invert the cake onto a serving plate.,sholvoir;ielts;exam;core,
crank,kræŋk,n 曲柄，曲轴; vt  用曲柄转动某物,"a handle on a piece of equipment, that you can turn in order to move something; to make something move by turning a crank",He was idly turning a crank on a strange mechanism strapped to his chest.,sholvoir;ielts;exam;core,
sucker,'sʌkɚ,n  吸盘； 吸根， 根出条,a part of an insect or of an animal’s body that it uses to hold on to a surface,,sholvoir;ielts;exam;core,
conquest,'kɑŋkwɛst,n  征服； 战利品,the act of getting control of a country by fighting,the Norman Conquest (= the conquest of England by the Normans ),sholvoir;ielts;exam;core,
modification,",mɑdɪfɪ'keʃən",n  修改， 改正,"a small change made in something such as a design, plan, or system",They have used the same process for almost 50 years with only minor modifications .,sholvoir;ielts;exam;core,
dense,dɛns,adj  密集的； 浓厚的,made of or containing a lot of things or people that are very close together,a dense rurally-based population,sholvoir;ielts;exam;core,
assurance,ə'ʃʊrəns,n  信心； 保证； 保险,"a promise that something will definitely happen or is definitely true, made especially to make someone less worried","Despite my repeated assurances, Rob still looked very nervous.",sholvoir;ielts;exam;core,
fortnight,'fɔrtnaɪt,n  两星期， 十四天,two weeks,a fortnight’s holiday,sholvoir;ielts;exam;core,
disrupt,dɪs'rʌpt,vt  使中断； 扰乱,to prevent something from continuing in its usual way by causing problems,Traffic was disrupted by a hoax bomb.,sholvoir;ielts;exam;core,
goggles,'gɑglz,n  护目镜； 风镜； 游泳镜,a pair of  glasses  made of glass or plastic with a rubber or plastic edge that fit against your skin and protect your eyes,And protect your eyes from snow and ice glare with dark glasses or goggles.,sholvoir;ielts;exam;core,
hypothetical,",haɪpə'θɛtɪkl",adj  假设的， 假定的； 爱猜想的,"based on a situation that is not real, but that might happen",The question is purely hypothetical .,sholvoir;ielts;exam;core,
converse,kən'vəʳs,vi 谈话，会谈['kɒnvɜːs]; adj 逆向的; n  相反的事物； 反面,"to have a conversation with someone; the converse of a fact, word, statement etc is the opposite of it",Luke sat directly behind the pilot and conversed with him.,sholvoir;ielts;exam;core,
eccentric,ɪk'sɛntrɪk,adj 古怪的，反常的; n  古怪的人,behaving in a way that is unusual and different from most people; someone who behaves in a way that is different from what is usual or socially accepted,His eccentric behaviour lost him his job.,sholvoir;ielts;exam;core,
farewell,",fɛr'wɛl",n  告别； 欢送会,the action of saying goodbye,Mourners gathered to bid farewell to the victims of the plane tragedy.,sholvoir;ielts;exam;core,
appliance,ə'plaɪəns,n  用具， 器具,"a piece of equipment, especially electrical equipment, such as a  cooker  or  washing machine  , used in people’s homes","He could also learn to use the vacuum cleaner, the washing machine and other household appliances.",sholvoir;ielts;exam;core,
mass,mæs,adj 大量的; v  聚集; n 团，众多；【物】质量；,"involving or intended for a very large number of people; to come together, or to make people or things come together, in a large group; the amount of material in something",a mass protest,sholvoir;ielts;exam;core,
renaissance,ˈrenəsɑ:ns; ˌrɛnəˈsɑns,n  [the R-] 文艺复兴， 文艺复兴时期； 复兴， 新生,"a new interest in something, especially a particular form of art, music etc, that has not been popular for a long period",...the Renaissance masterpieces in London's galleries.,sholvoir;ielts;exam;core,
poisonous,'pɔɪzənəs,adj  有毒的， 有害的； 恶毒的， 邪恶的,containing poison or producing poison,Some mushrooms are extremely poisonous.,sholvoir;ielts;exam;core,
inferential,",ɪnfə'rɛnʃəl",adj  可推断的， 推理的,"of, relating to, or derived from inference ","Finally, people like to stereotype. This is an inferential process based on limited data.",sholvoir;ielts;exam;core,
gesture,'dʒɛstʃɚ,v  做手势; n 姿势，姿态；手势,"to move your hand, arm, or head to tell someone something, or show them what you mean; a movement of part of your body, especially your hands or head, to show what you mean or how you feel","I gestured toward the boathouse, and he looked inside.",sholvoir;ielts;exam;core,
admit,əd'mɪt,v  承认； 准许…进入； 准许…加入,to agree unwillingly that something is true or that someone else is right,"‘Okay, so maybe I was a little bit scared,’ Jenny admitted.",sholvoir;ielts;exam;core,
propel,prə'pɛl,vt  推进， 推动； 驱使,"to move, drive, or push something forward",a boat propelled by a small motor,sholvoir;ielts;exam;core,
rampant,'ræmpənt,adj  猖獗的， 肆虐的， 泛滥的； 蔓生的， 疯长的,"if something bad, such as crime or disease, is rampant, there is a lot of it and it is very difficult to control",Pickpocketing is rampant in the downtown area.,sholvoir;ielts;exam;core,
interest,'ɪntrəst,n 兴趣；利息；利益; vt  使感兴趣,"if you have an interest in something or someone, you want to know or learn more about them; to make someone want to pay attention to something and find out more about it","I watched the first few episodes, but soon lost interest.",sholvoir;ielts;exam;core,
organic,ɔr'gænɪk,adj  器官的； 有机的； 有机体的； 组织的,"living, or produced by or from living things",Adding organic matter such as manure can improve the soil.,sholvoir;ielts;exam;core,
apply,ə'plaɪ,v  申请； 应用， 使用； 涉及,"to make a formal request, usually written, for something such as a job, a place at a university, or permission to do something",We need to apply for planning permission to build a garage.,sholvoir;ielts;exam;core,
jargon,'dʒɑrɡən,n  行话， 行业术语； 黑话,"words and expressions used in a particular profession or by a particular group of people, which are difficult for other people to understand – often used to show disapproval",Keep it simple and avoid the use of jargon.,sholvoir;ielts;exam;core,
incredible,ɪn'krɛdəbl,adj  不可信的； 难以置信的,"too strange to be believed, or very difficult to believe",It’s incredible that he survived the fall.,sholvoir;ielts;exam;core,
ethereal,ɪ'θɪrɪəl,adj  太空的； 轻巧的,,ethereal beauty,sholvoir;ielts;exam;core,
layout,'leaʊt,n  布局， 安排， 设计,"the way in which something such as a town, garden, or building is arranged",All the flats in the building had the same layout.,sholvoir;ielts;exam;core,
disagree,",dɪsə'ɡri",v  不同意； 不一致,to have or express a different opinion from someone else,Barr strongly disagreed with Kronfeld’s statement.,sholvoir;ielts;exam;core,
avalanche,'ævəlæntʃ,n&v  雪崩,"a large mass of snow, ice, and rocks that falls down the side of a mountain",Two skiers were killed in the avalanche.,sholvoir;ielts;exam;core,
formula,'fɔrmjələ,n  公式； 配方； 准则,a method or set of principles that you use to solve a problem or to make sure that something is successful,We’re still searching for a peace formula.,sholvoir;ielts;exam;core,
tribute,'trɪbjut,n  贡品； 颂词， 称赞； 礼物,"something that you say, do, or give in order to express your respect or admiration for someone",The players wore black armbands as a tribute to their late teammate.,sholvoir;ielts;exam;core,
endanger,ɪn'dendʒɚ,vt  危及， 危害,"to put someone or something in danger of being hurt, damaged, or destroyed",Smoking during pregnancy endangers your baby’s life.,sholvoir;ielts;exam;core,
stem,stɛm,n 茎；干；词干; vt  止住， 抑止， 堵住， 阻止,"the long thin part of a plant, from which leaves, flowers, or fruit grow; to stop something from happening, spreading, or developing",long-stemmed wine glasses,sholvoir;ielts;exam;core,
simplistic,sɪm'plɪstɪk,adj  过分单纯化的， 过分简单化的,treating difficult subjects in a way that is too simple,This is a very simplistic approach to the problem.,sholvoir;ielts;exam;core,
subordinate,səˈbɔːdɪnɪt (for n. &adj.) ; səˈbɔːdɪˌnet (for v.),adj  下级的； 次要的; n 下属; vt  使处于次要地位， 把…列在下级； 使服从,in a less important position than someone else; someone who has a lower position and less authority than someone else in an organization; to put someone or something in a less important position,a subordinate officer,sholvoir;ielts;exam;core,
trend,trɛnd,vi  伸向； 倾向; n 倾向；趋势；流行，时尚,a general tendency in the way a situation is changing or developing,The current trend is towards more part-time employment.,sholvoir;ielts;exam;core,
requisition,'rɛkwə'zɪʃən,n&vt  正式要求； 征用,"if someone in authority, especially the army, requisitions a building, vehicle, or food, they officially demand to have it during an  emergency  such as a war",The building was requisitioned as a military hospital for the duration of the war.,sholvoir;ielts;exam;core,
achievement,ə'tʃivmənt,n  成就， 成绩； 达到， 完成， 实现,something important that you succeed in doing by your own efforts,His great achievement is to make all the players into a united team.,sholvoir;ielts;exam;core,
mechanic,mə'kænɪk,n  机修工； [-s] 力学， 机械学,someone who is skilled at repairing motor vehicles and machinery,a garage mechanic,sholvoir;ielts;exam;core,
itinerary,aɪ'tɪnərɛri,n  行程表； 旅行路线， 旅行计划,a plan or list of the places you will visit on a journey,The next place on our itinerary was Sedona.,sholvoir;ielts;exam;core,
revolution,'rɛvə'lʊʃən,n  革命； 巨变， 大变革,"a complete change in ways of thinking, methods of working etc",the French Revolution of 1789,sholvoir;ielts;exam;core,
relation,rɪ'leʃən,n  关系， 联系； 亲属， 亲戚,a connection between two or more things,The price the meat is sold for bears no relation to (= is not connected to ) the price the farmer receives.,sholvoir;ielts;exam;core,
reliable,rɪ'laɪəbl,adj  可靠的， 可信赖的,someone or something that is reliable can be trusted or depended on,a birth control method that is cheap and reliable,sholvoir;ielts;exam;core,
incentive,ɪn'sɛntɪv,n  刺激； 激励,"something that encourages you to work harder, start a new activity etc","As an added incentive, there’s a bottle of champagne for the best team.",sholvoir;ielts;exam;core,
relate,rɪ'let,v  有关联； 讲述， 叙述,"if two things relate, they are connected in some way",I don’t understand how the two ideas relate.,sholvoir;ielts;exam;core,
workforce,'wɝkfɔrs,n  受雇的或现有的工作人员总数； 劳动人口,The workforce is the total number of people in a country or region who are physically able to do a job and are available for work,...a country where half the workforce is unemployed.,sholvoir;ielts;exam;core,
preliminary,prɪ'lɪmɪnɛri,adj 开端的，预备的，初步的,"happening before something that is more important, often in order to prepare for it",the preliminary stages of the competition,sholvoir;ielts;exam;core,
obstacle,'ɑbstəkl,n  障碍， 妨碍物， 干扰,something that makes it difficult to achieve some­thing,The tax puts obstacles in the way of companies trying to develop trade overseas.,sholvoir;ielts;exam;core,
fickle,'fɪkl,adj  易变的， 无常的,"someone who is fickle is always changing their mind about people or things that they like, so that you cannot depend on them – used to show disapproval",an unpredictable and fickle lover,sholvoir;ielts;exam;core,
van,væn,n  运货车,"a vehicle used especially for carrying goods, which is smaller than a truck and has a roof and usually no windows at the sides",a delivery van,sholvoir;ielts;exam;core,
worm,wɝm,n  虫， 蠕虫； 蜗杆， 螺纹,a long thin creature with no bones and no legs that lives in soil,...a new computer worm that disables security software.,sholvoir;ielts;exam;core,
dizzy,'dɪzi,adj  头晕目眩的， 眩晕的； 人头晕的,"feeling unable to stand steadily, for example because you are looking down from a high place or because you are ill",The heat and the champagne made him feel dizzy .,sholvoir;ielts;exam;core,
exceptional,ɪk'sɛpʃənl,adj  例外的； 异常的,unusually good,an exceptional student,sholvoir;ielts;exam;core,
constitute,'kɑnstətut,v  组成； 构成； 设立， 成立,"if several people or things constitute something, they are the parts that form it",We must redefine what constitutes a family.,sholvoir;ielts;exam;core,
legitimacy,lɪ'dʒɪtəməsi,n  合法性； 正统性,,He continues to cite the article as evidence of his legitimacy.,sholvoir;ielts;exam;core,
mate,met,v 交配，配种; n  配偶； 伙伴； 大副,"if animals mate, they have sex to produce babies; the sexual partner of an animal",Rabbits can be mated as early as six months old.,sholvoir;ielts;exam;core,
convince,kən'vɪns,vt  确信； 说服,to make someone feel certain that something is true,"Her arguments didn’t convince everyone, but changes were made.",sholvoir;ielts;exam;core,
gorge,ɡɔrdʒ,v 狼吞虎咽，,"If you gorge on something or gorge yourself on it, you eat lots of it in a very greedy way",I could spend each day gorging on chocolate.,sholvoir;ielts;exam;core,
registration,'rɛdʒɪ'streʃən,n  登记， 注册； 挂号； 登记或注册的项目,the act of recording names and details on an official list,Student registration (= for a course of study ) starts the first week in September.,sholvoir;ielts;exam;core,
theory,'θiəri,n  理论， 原理； 学说； 意见， 看法,"an idea or set of ideas that is intended to explain something about life or the world, especially an idea that has not yet been proved to be true",Freudian theory has had a great influence on psychology.,sholvoir;ielts;exam;core,
continental,",kɑntɪ'nɛntl",adj 欧洲大陆的；大陆性的; n  欧洲大陆人,relating to a large mass of land,the warming-up of continental interiors,sholvoir;ielts;exam;core,
internal,ɪn'tɝnl,adj  内部的； 国内的,within a particular country,We have no interest in interfering in the internal affairs of other countries.,sholvoir;ielts;exam;core,
extension,ɪk'stɛnʃən,n  伸展； 延长部分； 电话分机,"the process of making a road, building etc bigger or longer, or the part that is added",a loft extension,sholvoir;ielts;exam;core,
gender,'dʒɛndɚ,n  性别； 性,the fact of being male or female,people of the same gender,sholvoir;ielts;exam;core,
signature,'sɪgnətʃɚ,n  签名， 签字； 签署,"your name written in the way you usually write it, for example at the end of a letter, or on a cheque etc, to show that you have written it",Her signature is totally illegible (= cannot be read ) .,sholvoir;ielts;exam;core,
architect,'ɑrkɪtɛkt,n  建筑师， 设计师； 创造者,someone whose job is to design buildings,Tinoco was one of the architects of the government’s economic reforms.,sholvoir;ielts;exam;core,
churn,tʃɝn,v 〔因紧张或惊慌而〕反胃; n 〔制造黄油的〕搅乳器,"if your stomach churns, you feel sick because you are nervous or frightened; a container used for shaking milk in order to make it into butter",My stomach was churning on the day of the exam.,sholvoir;ielts;exam;core,
foundation,faʊn'deʃən,n  基础； 地基； 创立,"the solid layer of  cement  , bricks, stones etc that is put under a building to support it",It took the builders three weeks to lay the foundations .,sholvoir;ielts;exam;core,
astrology,ə'strɑlədʒi,n  占星学； 占星术,the study of the positions and movements of the stars and how they might influence people and events,Why do people believe in astrology?,sholvoir;ielts;exam;core,
variability,",vɛrɪə'bɪləti",n  可变性， 易变性,,"In our world, not only do we have variability, we've got unpredictability.",sholvoir;ielts;exam;core,
invader,ɪn'vedɚ,n  入侵者,a soldier or a group of soldiers that enters a country or town by force in order to take control of it,Invaders ransacked the town.,sholvoir;ielts;exam;core,
punch,pʌntʃ,v 穿孔，打孔；重击，猛击; n  猛击； 冲床， 穿孔机； 力量， 效力,to hit someone or something hard with your  fist (= closed hand ) ; a strong effective way of expressing things that makes people interested,He punched me and knocked my teeth out.,sholvoir;ielts;exam;core,
naturally,'nætʃrəli,adv  当然， 自然； 天生地,use this to say that something is normal and not surprising,"Naturally, you’ll want to discuss this with your wife.",sholvoir;ielts;exam;core,
flexibility,",flɛksə'bɪləti",n  柔韧， 有弹性； 柔顺， 温顺； 灵活性； 适应性,the ability to change or be changed easily to suit a different situation,Employees expect flexibility in the workplace.,sholvoir;ielts;exam;core,
identity,aɪ'dɛntəti,n  身份； 特性； 同一性,someone’s identity is their name or who they are,The identity of the killer is still unknown.,sholvoir;ielts;exam;core,
federal,'fɛdərəl,adj  联邦的， 联盟的,"a federal country or system of government consists of a group of states which control their own affairs, but which are also controlled by a single national government which makes decisions on foreign affairs, defence etc",Switzerland is a federal republic.,sholvoir;ielts;exam;core,
verify,'vɛrɪfaɪ,vt  证明； 证实,to state that something is true,His statement was verified by several witnesses.,sholvoir;ielts;exam;core,
excursion,ɪk'skɝʒn,n  远足， 短途旅游； 【物】 偏移， 漂移,"a short journey arranged so that a group of people can visit a place, especially while they are on holiday",a shopping excursion,sholvoir;ielts;exam;core,
snobbish,'snɑbɪʃ,adj  势利的， 谄上欺下的； 自命不凡的,behaving in a way that shows you think you are better than other people because you are from a higher social class or know more than they do,Her family seems snobbish.,sholvoir;ielts;exam;core,
inaugurate,ɪ'nɔɡjəret,vt  开始， 开创； 为…举行就职典礼； 为…举行开幕式； 为…举行落成仪式,to hold an official ceremony when someone starts doing an important job in government,The Turner Prize was inaugurated in 1984.,sholvoir;ielts;exam;core,
reward,rɪ'wɔrd,n 奖赏；报酬; vt  酬谢； 奖励,something that you get because you have done something good or helpful or have worked hard; to give something to someone because they have done something good or helpful or have worked for it,The school has a system of rewards and punishments to encourage good behaviour.,sholvoir;ielts;exam;core,
include,ɪn'klud,v  包括， 包含； 计入,"if one thing includes another, the second thing is part of the first",Does the price include postage?,sholvoir;ielts;exam;core,
hockey,'hɑki,n  曲棍球； 冰球,"a game played on grass by two teams of 11 players, with sticks and a ball",...a new hockey arena.,sholvoir;ielts;exam;core,
swallow,'swɑlo,v 吞咽；忍受; n  燕子,to make food or drink go down your throat and towards your stomach; a small black and white bird that comes to northern countries in the summer,He swallowed the last of his coffee and asked for the bill.,sholvoir;ielts;exam;core,
perquisite,'pɝkwəzɪt,n  利益； 特权,,In so many countries that I covered in Southeast Asia it was a given that the elites would take over public land as a kind of perquisite of power.,sholvoir;ielts;exam;core,
stint,stɪnt,n  定量； 限额,,,sholvoir;ielts;exam;core,
consolidation,"kən,sɑlə'deʃən",n  合并； 巩固,the act of consolidating or state of being consolidated ,"The consolidation of the beautifier of life, the society.",sholvoir;ielts;exam;core,
nurture,'nɝtʃɚ,vt 培养；滋养; n  营养品,"to help a plan, idea, feeling etc to develop",European union is an ideal that has been nurtured since the post-war years.,sholvoir;ielts;exam;core,
destructive,dɪ'strʌktɪv,adj  破坏的,causing damage to people or things,the destructive power of modern weapons,sholvoir;ielts;exam;core,
tillable,'tɪləbl,adj  适宜耕种的， 可耕种的,,,sholvoir;ielts;exam;core,
degenerate,dɪ'dʒɛnəret,vi 退化[dɪ'dʒ3nərət]; adj  退化的,to become worse; morally unacceptable,"Inactivity can make your joints stiff, and the bones may begin to degenerate.",sholvoir;ielts;exam;core,
buckle,'bʌkl,v  扣紧； 变形； 弯曲; n 皮带扣环,"to become bent or curved because of heat or pressure, or to make something bend or curve in this way; a piece of metal used for fastening the two ends of a belt, for fastening a shoe, bag etc, or for decoration",The steel pillars began to buckle.,sholvoir;ielts;exam;core,
hasty,'hesti,adj  草率的， 匆忙的,"done in a hurry, especially with bad results",He soon regretted his hasty decision.,sholvoir;ielts;exam;core,
censor,'sɛnsɚ,vt 审查，检查; n  检查员,"to examine books, films, letters etc to remove anything that is considered offensive, morally harmful, or politically dangerous etc; someone whose job is to examine books, films, letters etc and remove anything considered to be offensive, morally harmful, or politically dangerous",The information given to the press was carefully censored by the Ministry of Defence.,sholvoir;ielts;exam;core,
stir,stɝ,v&n  搅动； 摇动； 激动,"If you stir a liquid or other substance, you move it around or mix it in a container using something such as a spoon",Stir the soup for a few seconds.,sholvoir;ielts;exam;core,
craft,kræft,n  工艺， 手艺； 船； 航空器,"a job or activity in which you make things with your hands, and that you usually need skill to do",traditional rural crafts,sholvoir;ielts;exam;core,
existence,ɪɡ'zɪstəns,n  存在； 生活,the state of existing,Scientists have many theories about how the universe first came into existence (= started to exist ).,sholvoir;ielts;exam;core,
migratory,'maɪɡrətɔri,adj  迁徙的， 移居的； 流动的， 游牧的,involved in or relating to migration,migratory birds,sholvoir;ielts;exam;core,
threshold,'θrɛʃhold,n  入门， 门槛； 界限； 开端， 起点,"the entrance to a room or building, or the area of floor or ground at the entrance",She opened the door and stepped across the threshold.,sholvoir;ielts;exam;core,
unwrap,ʌn'ræp,vt  打开， 解开； 除去包装,"to remove the paper, plastic etc that is around something",Brigitte was unwrapping her birthday presents.,sholvoir;ielts;exam;core,
defendant,dɪ'fɛndənt,adj  处于被告地位的； 为自己辩护的; n 被告,the person in a court of law who has been  accused  of doing something illegal,We find the defendant not guilty.,sholvoir;ielts;exam;core,
coarse,kɔrs,adj  粗的； 粗糙的； 粗劣的,having a rough surface that feels slightly hard,a jacket of coarse wool,sholvoir;ielts;exam;core,
alley,'æli,n  小巷； 胡同,"a narrow street between or behind buildings, not usually used by cars",The alley led to the railway bridge.,sholvoir;ielts;exam;core,
exaggerate,ɪɡ'zædʒəret,v  夸大， 夸张,"to make something seem better, larger, worse etc than it really is",I couldn’t sleep for three days – I’m not exaggerating.,sholvoir;ielts;exam;core,
discover,dɪ'skʌvɚ,vt  发现， 找到； 发觉,"to find someone or something, either by accident or because you were looking for them",The body was discovered in a field.,sholvoir;ielts;exam;core,
vet,vɛt,vt 审查，仔细检查; n  兽医,"to check someone’s past activities, relationships etc in order to make sure that person is suitable for a particular job, especially an important one; someone who is trained to give medical care and treatment to sick animals",All candidates are carefully vetted by Central Office.,sholvoir;ielts;exam;core,
offset,",ɔf'sɛt",vt  抵消， 补偿， 弥补,"if the cost or amount of something offsets another cost or amount, the two things have an opposite effect so that the situation remains the same",Cuts in food prices will be offset by direct payments to farmers.,sholvoir;ielts;exam;core,
cascade,kæ'sked,n  小瀑布,a small steep  waterfall  that is one of several together,"Failure can cause a system imbalance, resulting in a pressure cascade malfunction with a resultant airflow reversal.",sholvoir;ielts;exam;core,
capture,'kæptʃɚ,vt 捕获，俘获；夺取或赢得; n  捕获； 战利品,to catch a person and keep them as a prisoner; when you catch someone in order to make them a prisoner,Government troops have succeeded in capturing the rebel leader.,sholvoir;ielts;exam;core,
literate,'lɪtərət,adj  有读写能力的； 有文化的； 博学的,able to read and write,Over one-quarter of the adult population are not fully literate.,sholvoir;ielts;exam;core,
qualification,",kwɑlɪfɪ'keʃən",n  资格， 合格； 技能； 限定， 条件； 合格证,"if you have a qualification, you have passed an examination or course to show you have a particular level of skill or knowledge in a subject",He left school without any qualifications.,sholvoir;ielts;exam;core,
sequence,'sikwəns,n  一系列， 一连串； 顺序， 次序,"the order that something happens or exists in, or the order it is supposed to happen or exist in",Be careful to perform the actions in the correct sequence .,sholvoir;ielts;exam;core,
combustion,kəm'bʌstʃən,n  燃烧； 燃烧过程,the process of burning,The energy is released by combustion on the application of a match.,sholvoir;ielts;exam;core,
provision,prə'vɪʒn,n  供应， 供应品； 准备， 预备； 条款， 规定； 给养， 口粮,when you provide something that someone needs now or in the future,He made provisions for his wife and his children in his will.,sholvoir;ielts;exam;core,
recruit,rɪ'krut,v 招募，招收；复原，恢复；补充; n  新兵， 新成员， 新会员,"to find new people to work in a company, join an organization, do a job etc; someone who has just joined the army, navy, or  air force ",We’re having difficulty recruiting enough qualified staff.,sholvoir;ielts;exam;core,
commence,kə'mɛns,v  开始， 着手,to begin or to start something,Work will commence on the new building immediately.,sholvoir;ielts;exam;core,
configuration,"kən,fɪɡjə'reʃən",n  结构， 配置； 轮廓， 外形,the combination of equipment needed to run a computer system,"Prices range from $119 to $199, depending on the particular configuration.",sholvoir;ielts;exam;core,
chunk,tʃʌŋk,n  大块； 相当大的部分,a large thick piece of something that does not have an even shape,ice chunks,sholvoir;ielts;exam;core,
platform,'plæt'fɔrm,n  平台， 站台； 纲领,the raised place beside a railway track where you get on and off a train in a station,The Edinburgh train will depart from platform six.,sholvoir;ielts;exam;core,
libel,'laɪbl,n 诽谤，中伤；诽谤性文字; vt  诽谤， 中伤， 诬蔑,when someone writes or prints untrue statements about someone so that other people could have a bad opinion of them; to write or print a libel against someone,"restrictions on press freedom, such as libel laws",sholvoir;ielts;exam;core,
provenance,'prɑvənəns,n  出处， 起源,the place where something originally came from,The provenance of the paintings is unknown.,sholvoir;ielts;exam;core,
extinct,ɪk'stɪŋkt,adj  灭绝的； 废弃的,an extinct type of animal or plant does not exist any more,Dinosaurs have been extinct for millions of years.,sholvoir;ielts;exam;core,
axle,'æksl,n  车轴， 轮轴,the bar connecting two wheels on a car or other vehicle,Remove the upper suspension arm nut and bolt at the axle bracket.,sholvoir;ielts;exam;core,
degrade,dɪ'ɡred,v  降级； 堕落； 降解； 退化,"if a substance, chemical etc degrades, or if something degrades it, it changes to a simpler form",,sholvoir;ielts;exam;core,
biodiversity,",baɪodaɪ'vɝsəti",n  生物多样性,the variety of plants and animals in a particular place,the biodiversity of the rainforest,sholvoir;ielts;exam;core,
opaque,o'pek,adj  不透明的； 晦涩的， 难懂的,opaque glass or liquid is difficult to see through and often thick,a shower with an opaque glass door,sholvoir;ielts;exam;core,
advantage,əd'væntɪdʒ,n  优点， 优势,"something that helps you to be more successful than others, or the state of having this",Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.,sholvoir;ielts;exam;core,
assistant,ə'sɪstənt,adj 助理的；,someone whose job is just below the level of manager etc,Whose assistant should I work as?,sholvoir;ielts;exam;core,
overestimate,",ovər'ɛstɪmət",vt 对…估计过高[ˌəuvər'estImət]; n  过高的估计,"to think something is better, more important etc than it really is; a calculation, judgement, or guess that is too large",He tends to overestimate his own abilities.,sholvoir;ielts;exam;core,
humid,'hjumɪd,adj  湿的， 潮湿的， 湿润的， 多潮气的,"if the weather is humid, you feel uncomfortable because the air is very wet and usually hot",Tokyo is extremely humid in mid-summer.,sholvoir;ielts;exam;core,
controversy,ˈkɑntrəvɝ​sɪ,n  争论， 辩论， 论战,a serious argument about something that involves many people and continues for a long time,a political controversy,sholvoir;ielts;exam;core,
compulsory,kəmˈpʌlsərɪ,adj  义务的； 必须做的； 强制性的； 必修的,something that is compulsory must be done because it is the law or because someone in authority orders you to,the threat of compulsory redundancies,sholvoir;ielts;exam;core,
anticipate,æn'tɪsə'pet,v  预期， 预料， 期望； 先于…行动,to expect that something will happen and be ready for it,Sales are better than anticipated.,sholvoir;ielts;exam;core,
detach,dɪ'tætʃ,v  分开， 分离； 分遣,"If you detach one thing from another that it is attached to, you remove it. If one thing detaches from another, it becomes separated from it. ",Detach the white part of the application form and keep it for reference only.,sholvoir;ielts;exam;core,
slash,slæʃ,v  砍； 大幅度削减; n 砍痕，伤痕；斜线号,"to cut or try to cut something violently with a knife, sword etc; a line (/) used in writing to separate words, numbers, or letters",Someone had slashed the tires.,sholvoir;ielts;exam;core,
seduce,sɪ'dʊs,vt  勾引， 引诱； 诱使， 唆使,"to persuade someone to have sex with you, especially in a way that is attractive and not too direct",The head lecturer was sacked for seducing female students.,sholvoir;ielts;exam;core,
landscape,ˈlændskep,n 风景; vt  对…作景观美化， 美化,"an area of countryside or land of a particular type, used especially when talking about its appearance; to make a park, garden etc look attractive and interesting by changing its design, and by planting trees and bushes etc",the beauty of the New England landscape,sholvoir;ielts;exam;core,
temporary,ˈtempəreri,adj  临时的， 暂时的,continuing for only a limited period of time,temporary pain relief,sholvoir;ielts;exam;core,
habitat,'hæbə'tæt,n  栖息地， 住处,the natural home of a plant or animal,watching monkeys in their natural habitat,sholvoir;ielts;exam;core,
desperate,'dɛspərət,adj  绝望的； 拼命的， 不顾一切的； 极度渴望的； 危急的,"willing to do anything to change a very bad situation, and not caring about danger",I had no money left and was desperate.,sholvoir;ielts;exam;core,
awful,'ɔfl,adj  糟糕的,very bad or unpleasant,The weather was awful.,sholvoir;ielts;exam;core,
handy,'hændi,adj  方便的； 手边的； 手巧的,near and easy to reach,I always keep my gun handy just in case.,sholvoir;ielts;exam;core,
branch,bræntʃ,n  树枝； 分部， 分科,"a part of a tree that grows out from the  trunk (=  main stem  )  and that has leaves, fruit, or smaller branches growing from it","After the storm, the ground was littered with twigs and branches.",sholvoir;ielts;exam;core,
