word,phonetic,definition_zh,definition_en,example,tags,audio_file
baseball,/ˈbeɪs.bɑl/,,"A sport common in North America, the Caribbean, and Japan, in which the object is to strike a ball so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/baseball.mp3
basketball,/ˈbæs.kɪt.bɔːl/,,A sport in which two opposing teams of five players strive to put a ball through a hoop.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/basketball.mp3
bat,/bæt/,,"Any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bat.mp3
bath,[bæθ⁓bɛəθ⁓beəθ],,A tub or pool which is used for bathing: bathtub.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bath.mp3
bathroom,/ˈbæθ.ɹuːm/,,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bathroom.mp3
beach,/bit͡ʃ/,,"The shore of a body of water, especially when sandy or pebbly.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/beach.mp3
bean,/biːn/,,A reusable software component written in Java.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bean.mp3
bear,/bɑɹ/,,"A large omnivorous mammal, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet; a member of family Ursidae.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bear.mp3
beautiful,/ˈbjuːtɪfəl/,,Someone who is beautiful. Can be used as a term of address.,"Hey, beautiful!",cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/beautiful.mp3
because,/bɪˈkɒz/,,For the reason (that).,,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/because.mp3
become,/biˈkʌm/,,"To arrive, come (to a place).",,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/become.mp3
bed,/bɛd/,,"A piece of furniture, usually flat and soft, on which to rest or sleep.",My cat often sleeps on my bed. I keep a glass of water next to my bed when I sleep.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bed.mp3
bedroom,/ˈbɛdɹʊm/,,A room in a house where a bed is kept for sleeping.,Please don't enter my bedroom without knocking.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bedroom.mp3
bee,/ˈbiː/,,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bee.mp3
beef,/biːf/,,"The meat from a cow, bull or other bovine.",I love eating beef.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/beef.mp3
before,/biˈfɔɹ/,,At an earlier time.,I've never done this before.,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/before.mp3
begin,/biˈɡɪn/,,Beginning; start.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/begin.mp3
behind,/bəˈhaɪnd/,,"The rear, back-end",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/behind.mp3
believe,/bi-/,,"To accept as true, particularly without absolute certainty (i.e., as opposed to knowing)",I believe there are faeries.,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/believe.mp3
bell,/bɛl/,,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bell.mp3
below,/bəˈloʊ/,,In a lower place.,,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/below.mp3
beside,/biˈsaɪd/,,Otherwise; else.,,cefr-j;a1;starter;cefr:a1;pos:adverb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/beside.mp3
best,/ˈbɛst/,,"The supreme effort one can make, or has made.",I did my best.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/best.mp3
better,[ˈbɛɾɚ],,"An entity, usually animate, deemed superior to another; one who has a claim to precedence; a superior.",He quickly found Ali his better in the ring.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/better.mp3
between,/bəˈtwin/,,"A kind of needle, shorter than a sharp, with a small rounded eye, used for making fine stitches on heavy fabrics.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/between.mp3
bicycle,/ˈbaɪsɪkl̩/,,"A vehicle that has two wheels, one behind the other, a steering handle, and a saddle seat or seats and is usually propelled by the action of a rider’s feet upon pedals.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bicycle.mp3
big,/bɪɡ/,,Someone or something that is large in stature,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/big.ogg
bike,[bɐɪk],,"A vehicle that has two wheels, one behind the other, a steering handle, and a saddle seat or seats and is usually propelled by the action of a rider’s feet upon pedals.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bike.mp3
bird,/bɝd/,,"A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs.",Ducks and sparrows are birds.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bird.mp3
birth,/bɝθ/,,The process of childbearing; the beginning of life.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/birth.mp3
birthday,/ˈbɝθˌdeɪ/,,The anniversary of the day on which someone is born.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/birthday.mp3
biscuit,/ˈbɪskɪt/,,"(rare in the US) A small, flat, baked good which is either hard and crisp or else soft but firm: a cookie.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/biscuit.mp3
black,/blak/,,"The colour/color perceived in the absence of light, but also when no light is reflected, but rather absorbed.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/black.mp3
blank,/blæŋk/,,"A small French coin, originally of silver, afterwards of copper, worth 5 deniers; also a silver coin of Henry V current in the parts of France then held by the English, worth about 8 pence .",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/blank.mp3
block,/blɑk/,,"A substantial, often approximately cuboid, piece of any substance.",a block of ice,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/block.mp3
blow,/bloʊ/,,A strong wind.,We're having a bit of a blow this afternoon.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/blow.mp3
blue,/blu/,,"The colour of the clear sky or the deep sea, between green and violet in the visible spectrum, and one of the primary additive colours for transmitted light; the colour obtained by subtracting red and green from white light using magenta and cyan filters; or any colour resembling this.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/blue.mp3
boat,/boʊt/,,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/boat.mp3
body,/ˈbɑdi/,,Physical frame.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/body.mp3
bone,/ˈboʊn/,,A composite material consisting largely of calcium phosphate and collagen and making up the skeleton of most vertebrates.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bone.mp3
book,/buːk/,,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",He was frustrated because he couldn't find anything about dinosaurs in the book.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/book.mp3
